Accident_Index,Date,Local_Authority_District,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Speed_Limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Gender,Vehicle_Type,Holiday,School_Season,Festival_Season,Time_of_Day,Accident_Risk,City,State
ACC002108,07/24/2024 05:02:29 PM,East District,Slight,1,1,Slip road,20,Daylight,Fine no high winds,Frost or ice,Rural,Woman,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Kerala
ACC002109,04/26/2022 01:12:33 AM,East District,Slight,1,1,Single carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Bicycle,No,School Open,Non-Festival,Night,Medium,Pune,Arunachal Pradesh
ACC002110,01/29/2023 04:59:18 AM,Central Region,Slight,2,1,Slip road,20,Darkness - lights lit,Fine no high winds,Snow,Urban,Man,SUV,No,School Open,Non-Festival,Night,Medium,Pune,Jharkhand
ACC002111,09/28/2021 05:00:35 PM,East District,Serious,2,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Woman,Bicycle,Yes,School Open,Festival,Evening,High,Delhi,Bihar
ACC002112,01-07-2024 09:32,North Sector,Serious,2,2,One way street,60,Darkness - lights lit,Raining no high winds,Dry,Rural,Woman,Auto Rickshaw,No,School Open,Non-Festival,Night,Medium,Chennai,Maharashtra
ACC002113,01/25/2021 07:32:47 PM,East District,Serious,3,2,Roundabout,50,Darkness - lights unlit,Snowing no high winds,Dry,Urban,Man,SUV,No,School Open,Non-Festival,Evening,Medium,Shimla,Meghalaya
ACC002114,08-02-2021 23:19,North Sector,Fatal,3,5,One way street,70,Darkness - no lighting,Raining no high winds,Wet or damp,Rural,Woman,Car,No,School Open,Non-Festival,Morning,Low,Kolkata,Manipur
ACC002115,11-11-2021 17:48,Downtown Hub,Slight,1,2,Dual carriageway,20,Darkness - no lighting,Fine no high winds,Wet or damp,Urban,Man,Car,No,School Open,Festival,Afternoon,Medium,Shimla,Haryana
ACC002116,10/19/2024 01:02:20 PM,East District,Slight,2,1,Dual carriageway,30,Darkness - no lighting,Fine + high winds,Wet or damp,Urban,Man,Car,No,School Open,Non-Festival,Afternoon,Low,Lucknow,Maharashtra
ACC002117,09/15/2020 04:37:21 PM,Central Region,Slight,2,1,Slip road,30,Darkness - no lighting,Fine + high winds,Dry,Urban,Man,Bicycle,Yes,School Open,Festival,Afternoon,High,Kolkata,Tamil Nadu
ACC002118,01/19/2024 04:26:55 AM,South Division,Slight,2,1,Roundabout,30,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Car,No,School Open,Non-Festival,Night,Medium,Lucknow,West Bengal
ACC002119,10-10-2024 10:54,Downtown Hub,Slight,2,1,One way street,30,Daylight,Fine no high winds,Wet or damp,Urban,Man,SUV,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Tripura
ACC002120,04/25/2021 08:43:58 PM,East District,Serious,2,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Man,Car,No,School Open,Non-Festival,Morning,Low,Mumbai,Haryana
ACC002121,12-06-2020 22:19,South Division,Slight,1,1,Roundabout,20,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Truck,No,School Open,Festival,Afternoon,Medium,Delhi,Rajasthan
ACC002122,10/25/2020 07:33:26 AM,North Sector,Slight,2,1,Single carriageway,20,Darkness - no lighting,Fine no high winds,Wet or damp,Urban,Man,Car,No,School Open,Non-Festival,Morning,Low,Kolkata,Meghalaya
ACC002123,10/16/2022 06:09:14 PM,Downtown Hub,Slight,2,1,Single carriageway,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Night,Medium,Kolkata,Madhya Pradesh
ACC002124,10/19/2023 05:10:04 PM,South Division,Slight,2,1,One way street,40,Darkness - lights unlit,Snowing no high winds,Dry,Rural,Woman,Auto Rickshaw,Yes,School Vacation,Festival,Evening,High,Jaipur,Nagaland
ACC002125,09/27/2024 09:12:24 AM,West Metro,Slight,2,1,Roundabout,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Bicycle,No,School Vacation,Festival,Evening,High,Chennai,Manipur
ACC002126,02/14/2020 09:25:17 PM,Central Region,Slight,1,1,Slip road,40,Darkness - no lighting,Fine no high winds,Wet or damp,Rural,Man,Bus,Yes,School Open,Non-Festival,Afternoon,Medium,Pune,Rajasthan
ACC002127,05-07-2024 07:38,South Division,Slight,1,1,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Woman,Auto Rickshaw,No,School Open,Non-Festival,Evening,Medium,Jaipur,Telangana
ACC002128,09/24/2021 02:02:37 PM,South Division,Slight,1,1,One way street,30,Darkness - lights lit,Fine no high winds,Dry,Urban,Man,Truck,No,School Open,Festival,Evening,High,Hyderabad,Uttar Pradesh
ACC002129,09/27/2020 05:56:23 PM,South Division,Slight,2,2,One way street,20,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Bicycle,No,School Open,Non-Festival,Evening,Medium,Pune,Tripura
ACC002130,07-05-2024 03:29,West Metro,Serious,1,3,Roundabout,60,Daylight,Raining + high winds,Dry,Rural,Man,SUV,No,School Vacation,Non-Festival,Night,Medium,Delhi,West Bengal
ACC002131,01/29/2020 08:34:07 AM,South Division,Slight,2,1,Slip road,40,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Van,No,School Open,Festival,Night,High,Pune,West Bengal
ACC002132,08-09-2020 21:14,South Division,Slight,1,1,Slip road,40,Darkness - lights lit,Fine no high winds,Dry,Urban,Woman,Bicycle,No,School Vacation,Non-Festival,Night,Medium,Chennai,West Bengal
ACC002133,07/25/2023 02:58:44 PM,Central Region,Serious,2,1,Single carriageway,40,Darkness - lights unlit,Fine no high winds,Dry,Rural,Woman,Motorcycle,No,School Open,Festival,Evening,High,Pune,Madhya Pradesh
ACC002134,08/25/2020 03:15:56 AM,Downtown Hub,Slight,2,1,Slip road,30,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,SUV,No,School Open,Festival,Night,High,Delhi,Himachal Pradesh
ACC002135,12/18/2024 01:41:06 PM,Central Region,Slight,2,1,Roundabout,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Woman,Auto Rickshaw,No,School Vacation,Festival,Afternoon,Medium,Chennai,Manipur
ACC002136,06/29/2022 07:54:23 AM,Downtown Hub,Slight,1,1,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Woman,Auto Rickshaw,No,School Open,Non-Festival,Night,Medium,Shimla,Madhya Pradesh
ACC002137,07/19/2021 06:07:54 AM,Downtown Hub,Slight,2,1,Slip road,20,Daylight,Fine no high winds,Dry,Urban,Man,Car,No,School Vacation,Non-Festival,Night,Medium,Kolkata,Andhra Pradesh
ACC002138,05/30/2024 10:15:08 AM,North Sector,Slight,2,1,Slip road,40,Darkness - lights lit,Fine no high winds,Dry,Urban,Woman,SUV,No,School Open,Non-Festival,Night,Medium,Kolkata,Tripura
ACC002139,11-03-2021 04:50,North Sector,Slight,2,1,Slip road,20,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Night,Medium,Lucknow,Gujarat
ACC002140,08/13/2020 09:55:01 PM,West Metro,Slight,1,1,Roundabout,20,Daylight,Fine no high winds,Dry,Urban,Woman,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Shimla,Himachal Pradesh
ACC002141,06/27/2021 01:08:47 AM,East District,Fatal,3,1,One way street,40,Darkness - lights unlit,Fine no high winds,Dry,Urban,Woman,Car,No,School Open,Non-Festival,Morning,Low,Shimla,Telangana
ACC002142,07/14/2022 04:14:39 PM,West Metro,Slight,1,1,Roundabout,40,Darkness - no lighting,Fine no high winds,Wet or damp,Urban,Man,Car,No,School Open,Non-Festival,Afternoon,Low,Pune,Andhra Pradesh
ACC002143,05-04-2020 15:54,East District,Slight,2,1,Single carriageway,40,Daylight,Raining no high winds,Dry,Rural,Man,Van,No,School Open,Non-Festival,Evening,Medium,Kolkata,Kerala
ACC002144,05/30/2023 04:04:08 AM,Downtown Hub,Slight,1,1,Roundabout,40,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Bicycle,No,School Open,Non-Festival,Morning,Low,Delhi,Haryana
ACC002145,07/18/2022 04:38:27 PM,Downtown Hub,Slight,1,1,Slip road,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Auto Rickshaw,No,School Open,Non-Festival,Afternoon,Low,Bengaluru,Telangana
